shona,part_of_speech_tag,english
chirema,NN,cripple
chiremba,NN,doctor
chiremba wemazino,NN,dentist
chiremera,NN,dignity
chirimwa,NN,plant; crop
chiringiriro,NN,mirror
chironda,NN,wound
chiropa,NN,liver
chirungu,NN,English
chirwere,NN,disease
Chishanu,NN,Friday
chisikwa,NN,creature
chitadzo,NN,sin
chitaka,NN,liver
chitambi,NN,stamp (postage)
Chitatu,NN,Wednesday
chiteshi,NN,station
chitima,NN,train
chitoro,NN,store; shop
chitsidzirano,NN,promise
chitsuwa,NN,island
chiuno,NN,waist
chiuru,NN,thousand
Chivabvu,NN,May
chizi,NN,cheese
chiziviso,NN,announcement; notice
choko,NN,chalk
chokoreti,NN,chocolate
chokwadi,NN,truth
da,VB,love; want; like
-dada,VB,be proud
dafi,NN,frog
-daidza,VB,call
-daidzira,VB,shout
dama,NN,cheek
dambudziko,NN,problem
danda,NN,pole
dandemutande,NN,spider
dangwe,NN,firstborn child
danho,NN,level
dare,NN,bell (HH)
dare,NN,court (LL)
dema,NN,black
-demba,VB,regret
demo,NN,axe
dendere,NN,nest
denderedzwa,NN,circle
denga,NN,roof; sky; heaven
-derera,VB,decrease
dhadha,NN,duck
dhairekita,NN,director
-dhakwa,VB,be drunk
dhamu,NN,dam
dhandurumu,NN,dining room
dhayari,NN,diary
dhazeni,NN,dozen
dheri,NN,dairy
dhesiki,NN,desk
dheti,NN,date
dhigirii,NN,degree
dhimoni,NN,demon
dhipoziti,NN,deposit
dhishi,NN,dish
dhiyabhori,NN,devil
dhizeti,NN,dessert
dhiziri,NN,diesel
dhomitori,NN,dormitory
dhongi,NN,donkey
-dhonza,VB,pull
dhora,NN,dollar
dhorobha,NN,town
-dhumhana,VB,collide
bhora,NN,ball
bhowa,VB,bore
bhucha,NN,slaughterhouse
bhuku,NN,book
bhurakufesi,NN,breakfast
bhurasho,NN,brush
bhurauzi,NN,blouse
bhurukwa,NN,trousers
bhururuka,VB,fly
bhuruu,JJ,blue
bhutu,NN,trunk
bika,VB,cook
boira,VB,blink
bopoto,NN,uproar
bota,NN,porridge
budirira,VB,develop; succeed
buri,NN,hole
buruka,VB,descend
bvarura,VB,tear
bvira,VB,burn
bvuma,VB,admit
bvunza,VB,ask; inquire
bvunzo,NN,exam
chamhembe,NN,south
chando,NN,cold
chanzi,NN,chance
chechi,NN,church
-cheka,VB,cut
cheki,VB,check
-chema,VB,cry; mourn
-chembera,VB,be old
chena,JJ,white
-chena,VB,be clean
-chengeta,VB,keep
-chengetedza,VB,save
cheni,NN,chain
-chenjera,VB,be cautious; be clever
chenji,NN,change
-chera,VB,dig; scoop
cheri,NN,cherry
chibage,NN,maize
chibereko,NN,uterus
chibhakera,NN,fist
chibvumirano,NN,agreement
chidhakwa,JJ,alcoholic
chidhinha,NN,brick
chidzidzo,NN,lesson; subject
chigaro,NN,chair; seat
chigero,NN,scissors
chigunwe,NN,thumb; finger; toe
chihwitsi,JJ,sweet
chii,PR,what
chiito,VB,verb
chikafu,NN,food
chikamu,NN,chapter
chikepe,NN,boat
chikero,NN,scale
chikomo,NN,hill
chikonzero,NN,reason; cause
chikopokopo,NN,helicopter
chikoro,NN,school
chikosoro,NN,cough
Chikumi,NN,June
Chikunguru,NN,July
chikwama,NN,wallet
chikwangwani,NN,sign
chikwata,NN,group
chikwereti,NN,credit; debt; loan
chimbini,NN,chimney
chimumumu,JJ,dumb
chimuti,NN,stick
China,NN,Thursday
chingwa,NN,bread
chinhu,NN,thing
chiningoningo,NN,wrist
-chinja,VB,exchange
chinwiwa,NN,beverage; drink
chinyoreso,NN,pen
-chipa,VB,be cheap
chipatara,NN,hospital
chipembere,NN,rhino
Chipiri,NN,Tuesday
chipo,NN,gift; present
chipoko,NN,ghost
chipunu,NN,spoon
chirebvu,NN,chin
chirema,NN,cripple
chiremba,NN,doctor
chiremba wemazino,NN,dentist
chiremera,NN,dignity
chirimwa,NN,plant; crop
chiringiriro,NN,mirror
chironda,NN,wound
chiropa,NN,liver
chirungu,NN,English
chirwere,NN,disease
Chishanu,NN,Friday
chisikwa,NN,creature
chitadzo,NN,sin
chitaka,NN,liver
chitambi,NN,stamp (postage)
Chitatu,NN,Wednesday
chiteshi,NN,station
chitima,NN,train
chitoro,NN,store; shop
chitsidzirano,NN,promise
chitsuwa,NN,island
chiuno,NN,waist
chiuru,NN,thousand
Chivabvu,NN,May
chizi,NN,cheese
chiziviso,NN,announcement; notice
choko,NN,chalk
chokoreti,NN,chocolate
chokwadi,NN,truth
-da,VB,love; want; like
-dada,JJ,be proud
dafi,NN,frog
-daidza,VB,call
-daidzira,VB,shout
dama,NN,cheek
dambudziko,NN,problem
danda,NN,pole
dandemutande,NN,spider
dangwe,NN,firstborn child
danho,NN,level
dare,NN,bell (HH)
dare,NN,court (LL)
dema,JJ,black
-demba,VB,regret
demo,NN,axe
dendere,NN,nest
denderedzwa,NN,circle
denga,NN,roof; sky; heaven
-derera,VB,decrease
dhadha,NN,duck
dhairekita,NN,director
-dhakwa,VB,be drunk
dhamu,NN,dam
dhandurumu,NN,dining room
dhayari,NN,diary
dhazeni,NN,dozen
dheri,NN,dairy
dhesiki,NN,desk
dheti,NN,date
dhigirii,NN,degree
dhimoni,NN,demon
dhipoziti,NN,deposit
dhishi,NN,dish
dhiyabhori,NN,devil
dhizeti,NN,dessert
dhiziri,NN,diesel
dhomitori,NN,dormitory
dhongi,NN,donkey
-dhonza,VB,pull
dhora,NN,dollar
dhorobha,NN,town
-dhumhana,VB,collide
-dhura,VB,be expensive
-dira,VB,pour
-diridza,VB,irrigate
divi,NN,side
domasi,NN,tomato
dombo,NN,stone; rock
dongo,NN,clay
-donha,VB,fall; collapse
-donhedza,VB,drop
donhwe,NN,drop
doro,NN,beer
dota,NN,ash
dova,NN,dew
duku,JJ,small; young
dumbu,NN,stomach; belly
dunhu,NN,region
duramazwi,NN,dictionary
-dya,VB,eat
-dyara,VB,plant; sow
dzamara,IN,until
-dzidza,VB,learn
-dzidzisa,VB,teach
dzidzo,NN,education
dzikama,VB,be calm
dzimudzangara,NN,radio
-dzimura,VB,extinguish
-dzingaidza,VB,disturb; interrupt
dzinza,NN,clan
-dzivirira,VB,defend; protect; prevent
-dziya,VB,be warm
-dzoka,VB,return
-dzvanyirira,VB,exploit
-edha,VB,add
-edza,NN,attempt; try
ehe,INT,yes
eka,NN,acre
ekisi reyi,NN,X-ray
emvuropu,NN,envelope
-enda,VB,go
-enderera mberi,VB,continue
-enzana,VB,be equal
epuroni,NN,apron
-era,VB,measure
eshi tireyi,NN,ashtray
fa,VB,die
fafitera,NN,window
faira,NN,file
famba,VB,walk; travel; move
fara,VB,be happy
fashoni,NN,fashion
fekitari,NN,factory
fema,VB,breathe
fenda,VB,faint
fenicha,NN,furniture
fenzi,NN,fence
fetiraiza,NN,fertilizer
feya,VB,investigate
fidha,VB,feed
firiji,NN,refrigerator
firimu,NN,film
flvha,NN,fever
fizi,NN,fees
fodya,NN,tobacco
fomu,NN,form
forogo,NN,fork
fotokopiya,NN,photocopier
fufura,NN,butterfly
fugidza,VB,cover
funga,VB,think
fura,VB,graze
furati,NN,flat (apartment)
furawa,NN,flour
furo,NN,foam
gaba,NN,tin
gadheni,NN,garden
gadhi,NN,guard
-gadzira,VB,make; repair
-gadzirira,VB,prepare
-gadzirisa,VB,correct
gaka,NN,cucumber
gakava,NN,dispute; debate
-gamhina,VB,limp
-gara,VB,stay; live; sit
garaji,NN,garage
garo,NN,buttock
garoni,NN,gallon
garwe,NN,crocodile
-gasa,VB,cease
-gaya,VB,digest; grind
gedhi,NN,gate
gemu,NN,game
gen'a,NN,gang
-geza,VB,bathe; wash
girazi,NN,glass
giredhi,NN,grade
girepi,NN,grape
girini,JJ,green
girosa,NN,grocery store
girovhisi,NN,glove
gitare,NN,guitar
giya,NN,gear
-gogodza,VB,knock
gokora,VB,elbow
gomba,NN,pit
gomo,NN,mountain
gonhi,NN,door
gonye,NN,caterpillar; worm
gonzo,NN,rat
gore,NN,year; cloud
goridhe,NN,gold
gorufu,NN,golf
-gova,VB,divide; share
gudo,NN,baboon
gukuravhu,NN,erosion
-gumbata,VB,embrace
gumbeze,NN,blanket
gumbo,NN,leg
-gumbura,VB,annoy; disappoint
gumi,NN,ten
gungano,NN,congregation
gungwa,NN,lake; sea
Gunyana,NN,September
guru,JJ,big
gurukota,NN,government minister
guruu,NN,glue
guruva,NN,dust
guta,NN,city
guta guru,NN,capital city
guva,NN,grave
gwanza,NN,gap
gwirikwiti,NN,measles
hafu,NN,half
hama,NN,relative
hanganwa,NN,forgetfulness
hanya,VB,concern
hanyanisi,NN,onion
hanzvadzi,NN,sibling
hapwa,NN,armpit
hasha,NN,anger; fury
hendibhegi,NN,handbag
hengechefu,NN,handkerchief
herikoputa/chikopokopo,NN,helicopter
heti,NN,hat
hohwa,NN,mushroom
homwe,NN,pocket
hondo,NN,war
hongu,INT,yes
hositeri,NN,hostel
hotera,NN,hotel
hove,NN,fish
hovhoni,NN,oven
huchi,NN,honey
huku,NN,chicken; fowl
-hukura,VB,bark
huma,NN,forehead
huni,NN,firewood
hure,NN,prostitute
huro,NN,throat
hurumende,NN,government
hwahwa,NN,beer
-hwanda,VB,hide
hwayana,NN,lamb
hwayi,NN,sheep
hweta,NN,waiter
ibvi,NN,knee
idzva,JJ,new
igo,NN,wasp
imba,NN,house (HL)
,VB,sing (H)
imbwa,NN,dog
ina,CD,four
indavhiu,NN,interview
ingi,NN,ink
inivhoisi,NN,invoice
injini,NN,engine
injiniya,NN,engineer
-ipa,VB,"be bad, ugly"
-isa,VB,put
ishe,NN,chief
Isita,NN,Easter
jagi,NN,jug
jana,NN,duty
jecha,NN,sand
jee,NN,joke
jemu,NN,jam
jemusi,NN,germ
jeri,NN,jail
jira,NN,cloth; fabric
jongwe,NN,cock
juzi,NN,jersey
kabheji,NN,cabbage
kadhi,NN,card
-kakavadzana,VB,quarrel
-kama,VB,comb
kamba,NN,police camp (HL)
,NN,tortoise (HH)
-kambaira,VB,crawl
kambani,NN,company
kamera,NN,camera
kamu,NN,comb
kamwe,CD,once
kanda,VB,throw
-kanga,VB,fry
-kanganisa,VB,be wrong
-kanganwa,VB,forget
-kanzura,VB,cancel
kanzuru,NN,council
kapeti,NN,carpet
kapu,NN,cup
kapuka,NN,insect
karenda,NN,calendar
kari,NN,curry
karoti,NN,carrot
karukureta,NN,calculator
katsi,NN,cat
keke,NN,cake
kemisiti,NN,pharmacist
kenduru,NN,candle
keni,MD,can
kepi,NN,cap
keputeni,NN,captain
keshiya,NN,cashier
keteni,NN,curtain
ketero,NN,kettle
kicheni,NN,kitchen
kirasi,NN,class
kireshi,NN,nursery
kiriketi,NN,cricket
kirimu,NN,cream
kiriniki,NN,clinic
-kisa,VB,kiss
-kiya,VB,lock
kiyi,NN,key
-kiyinura,VB,unlock
kofi,NN,coffee
kofini,NN,coffin
-kohwa,VB,harvest; reap
koini,NN,coin
-koka,VB,invite
koko,NN,cocoa
kokonati,NN,coconut
koma,NN,comma
-komborera,VB,bless
kombuta,NN,computer
komiti,NN,committee
kona,NN,corner
-konzera,VB,cause
kopa,NN,copper
-kopa,VB,copy
koparetivhi,NN,cooperative
kora,NN,collar
koreji,NN,college
koridho,NN,corridor
-korokotedza,VB,congratulate
koroni,NN,wheat
kotoni,NN,cotton
-kotsira,VB,be asleep
Kristu,NN,Christ
kudya,VB,eat
kwemanheru,NN,dinner
kwemasikati,NN,lunch
kure,ADV,far
-kudza,VB,respect
Kukadzi,NN,February
-kunda,VB,conquer; defeat; win
-kuora,VB,eclipse; darken
kupi,ADV,where
-kurudzira,VB,urge; encourage
Kurume,NN,March
-kurumidza,VB,be quick; fast
kusheni,NN,cushion
kutya,NN,fright
-kuvadza,VB,damage; injure; hurt; harm
kwaya,NN,choir
-kwazisa,VB,greet
kwete,ADV,no
-kwezva,VB,attract
-kwikwidza,VB,compete
-kwira,VB,ascend; climb
mabhizimisi,NN,commerce
mabiko,NN,feast
mabudazuva,NN,sunrise
mabvazuva,NN,east
madeukazuva,NN,sunset
madokero,NN,west
madziro,NN,wall
mafuta,NN,oil; fuel; fat
magazini,NN,magazine
magetsi,NN,electricity
magumo,NN,end
Mai,NN,"Mrs., mother"
majarini,NN,margarine
makakatanwa,NN,argument
makanika,NN,mechanic
makore,NN,zana century
makuhwa,NN,gossip
makwene,NN,dandruff
makwikwi,NN,competition
mambakwedza,NN,dawn
mambo,NN,king
mambokadzi,NN,queen
mambure,NN,net
mamiriro ekunze,NN,weather
maneja,NN,manager
manera,NN,ladder
mangwana,NN,tomorrow
mangwanani,NN,morning; Good morning!
manheru,NN,evening; Good evening!
manikidza,NN,compel
manyoka,NN,diarrhea
maodzanyemba,NN,north
mapatya,NN,twins
mapfunde,NN,sorghum
marara,NN,garbage
marariya,NN,malaria
marasha,NN,coal; charcoal
mari,NN,cash; money
mariro,NN,funeral
marwadzo,NN,pain
mashambanzou,NN,dawn
mate,NN,saliva
matiresi,NN,mattress
matsi,JJ,deaf
mauto,NN,army
mavambo,NN,beginning
mazino,NN,teeth
mbabvu,NN,rib
mbatatisi,NN,potatoes
mbatya,NN,clothes
mbavha,NN,thief
mberi,NN,ahead
mbeu,NN,seed
mbeva,NN,mouse; mice
mbishi,JJ,raw
mbizi,NN,zebra
mbudzi,NN,goat
Mbudzi,NN,November
medhari,NN,medal
-menya,VB,peel
mepu,NN,map
-mera,VB,germinate
meya,NN,mayor
mhandu,NN,enemy
-mhanya,VB,run; jog
mhararano,NN,junction
mhenyu,JJ,alive
mhepo,NN,wind
mhete,NN,earring
mheterwa,NN,whistle
mhiko,NN,oath
mhinduro,NN,answer
mhiripiri,NN,chili
mhofu,NN,eland; African antelope
mhowani,NN,ostrich
mhuka,NN,animal
mhuno,NN,nose
mhuri,NN,family
mhuru,NN,calf
mhute,NN,fog
mineti,NN,minute
-mira,VB,stop; wait; stand
mita,NN,meter
mombe,NN,cattle; cow
mondo,NN,yolk
moto,NN,fire
motokari,NN,car
motsi,NN,first
mubato,NN,handle
mubatsiri,NN,assistant
mubatwi,NN,subject
mubayiro,NN,prize; reward
mubereki,NN,parent
mubhedha,NN,bed
mubiki,NN,cook
mubvakure,NN,foreigner
mubvunzo,NN,question; inquiry
muchato,NN,wedding; marriage
muchero,NN,fruit
mucheto,NN,border; edge
muchina,NN,machine
mbatya,NN,washing machine
mudiwa,NN,beloved
mudungwe,NN,queue; line
mudzanga,NN,cigarette
mudzi,NN,root
mudzidzi,NN,student
mudzidzisi,NN,teacher
mudziyo,NN,utensil
muenzaniso,NN,example; justice
muenzi,NN,visitor
mufambidzani,NN,companion
mufananidzo,NN,picture; photograph
mufirwi,NN,bereaved
mufundisi,NN,priest
mugadziri weshangu,NN,cobbler
muganho,NN,boundary
mugodhi,NN,mine
mugomo,NN,bucket
Mugovera,NN,Saturday
muimbi,NN,singer
mujaho,NN,race
-muka,VB,get up
mukadzi,NN,woman; wife; lady
mukaka,NN,milk
mukati,ADV,inside
mukoma,NN,brother
mukomana,NN,boy
mukoti,NN,nurse
muKristu,NN,Christian
mukuru,NN,elder
mukurumbira,NN,fame
mukuwasha,NN,son-in-law
mukwende,NN,luggage
mumhanzi,NN,music
mumvuri,NN,shade
munamato,NN,prayer
munda,NN,field
munhenga,NN,feather
munhu,NN,person; human
munhukadzi,NN,female
munhurume,NN,male
muninina,NN,younger brother; younger sister
munyepfu,NN,flesh
munyepi,NN,liar
munyu,NN,salt
mupanda,NN,room
mupemhi,NN,beggar
mupepeti,NN,editor
mupunga,NN,rice
mupurisa,NN,policeman
muranda,NN,slave
murayiridzi,NN,coach; teacher
murayiro,NN,command
mureza,NN,flag
muridzi,NN,owner
murimi,NN,farmer
muripo,NN,fine
muriwo,NN,vegetable
muromo,NN,mouth; lip
muroora,NN,daughter-in-law
murume,NN,man; husband
murwere,NN,patient
murwi,NN,soldier; fighter
musana,NN,back
musangano,NN,meeting
musha,NN,home; village
mushandi,NN,worker
mushanyi,NN,tourist
mushonga,NN,medicine
musika,NN,market
musikana anoshanda mumba,NN,maid
musikana,NN,girl
musodzi,NN,tear
musoro,NN,head
musungwa,NN,prisoner
musuwo,NN,entrance
muswe,NN,tail
mutambo,NN,diaper
mutauro,NN,language
muteeri,NN,follower
mutengo,NN,price
mutero,NN,tax
muti,NN,tree
muto,NN,soup
mutongi,NN,judge
mutongo,NN,judgement
mutoo,NN,method
mutsa,NN/VB,favor (LH) / wake (L)
mutsipa,NN,neck
mutumwa,NN,messenger
mutungamiri wenyika,NN,president
mutyairi,NN,driver
mutyairi wendege,NN,pilot
muvaki,NN,builder
muvakidzani,NN,neighbor
muvezi,NN,carpenter
Muvhuro,NN,Monday
muviri,NN,body
muzivikanwi,NN,acquaintance
muzukuru,NN,grandchild; nephew
mvere,NN,fur
mvura,NN,rain; water
mwaka,NN,season
mwana,NN,child; baby; kid
mwanakomana,NN,son
mwanasikana,NN,daughter
-mwe,ADJ,another
mwedzi,NN,month; moon
mwenga,NN,bride
mwenje,NN,light
mweya,NN,breath; smell
mwoyo,NN,heart
nachisi,NN,"naartjie (a fruit, like an orange)"
-namata,VB,worship
-namatira,VB,stick
nanazi,NN,pineapple
narini,ADV,forever
ndarama,NN,gold
ndebvu,NN,beard
ndege,NN,airplane
Ndira,NN,January
ndizvozvo,ADJ,right; correct
ndoro,NN,button
nekuti,CONJ,because
-neta,VB,be tired
nezuro,ADV,yesterday
ngano,NN,folk tale
ngarava,NN,ship
ngoma,NN,drum
nguruve,NN,pig
nguva,NN,time
nguva yechando,NN,winter
nhabvu,NN,football
nhamba,NN,number
nhandare yendege,NN,airport
nhanga,NN,pumpkin
nhanganyaya,NN,preface; introduction
nhanhatu,NUM,six
nhanho,NN,step
nharaunda,NN,region
nhasi,ADV,today
nhau,NN,news
nhengo,NN,member
nherera,NN,orphan
nhetembo,NN,poem
nhomba,NN,vaccination
-nhonga,VB,pick
nhoroondo,NN,history
nhumbu,NN,pregnancy
nhumwa,NN,emissary
nhunzi,NN,fly
njanji,NN,railway
njiri,NN,warthog
njiva,NN,dove
njodzi,NN,danger; accident
nomwe,NUM,seven
-nonoka,VB,be slow; late
-nwa,VB,drink
nyama,NN,meat
nyama yemombe,NN,beef
-nyangarika,VB,disappear
nyangwe,CONJ,although
nyanza,NN,lake; sea
nyanzvi,NN,expert
-nyara,VB,be shy
-nyaradza,VB,console
-nyarara,VB,be quiet
nyaya,NN,story
-nyemwerera,VB,smile
-nyengedza,VB,deceive
-nyepa,VB,lie
-nyeya,VB,backbite
nyika,NN,country
nyoka,NN,snake
-nyora,VB,write
nyore,ADJ,easy
-nyorova,VB,be wet
nyota,NN,thirst
nyuchi,NN,bee
-nyunguduka,VB,dissolve
-nyunyuta,VB,complain
nzara,NN,fingernail (HT); hunger; famine; drought (LT)
nzeve,NN,ear
nzira,NN,road; street; path; way
nzou,NN,elephant
nzungu,NN,peanut; nut
nzvimbo,NN,place
onekedzo,NN,farewell
-nyunyuta,VB,complain
-oma,JJ,dry; difficult; hard
-ona,VB,see; watch
-oneka,JJ,visible
-ora,VB,decay
ovhataimi,NN,overtime
-pedza,VB,finish; accomplish; complete
peji,NN,page
-pemha,VB,beg
-penda,VB,paint
pendi,NN,paint
-penga,VB,be mad
peni,NN,penny
penzura,NN,pencil
pepa,NN,paper
pepanhau,NN,newspaper
-perekedza,VB,accompany
-pesana,VB,disagree
-peta,VB,fold
peturu,NN,petrol
peya,NN,pair
-pfapfaidza,VB,spray
-pfeka,VB,wear
-pfugama,VB,kneel
pfumbamwe,NUM,nine
-pfumo,NN,spear
pfungwa,NN,thought
pfupa,NN,bone
-pfura,VB,shoot
-pfuta,VB,blaze
pfuti,NN,gun
-pfuura,VB,pass
-pi,INT,which
pichisi,NN,peach
pikicha,NN,picture
-pina,VB,pin
-pinda,VB,enter; come in
-pindura,VB,reply; answer
pini,NN,pin
-pinza,VB,insert
piri,JJ,two
piritisi,NN,pill
piro,NN,pillow
-pisa,VB,be hot
pisi,NN,piece
pito,NN,whistle
piyano,NN,piano
-pofomara,VB,be blind
-pokana,VB,contradict
pombi,NN,tap; pump
-ponda,VB,murder
popukoni,NN,popcorn
-pora,VB,heal
porofiti,NN,profit
poshi,JJ,one
poto,NN,pot
-pupura,VB,confess
purani,NN,plan
purazi,NN,farm
pureti,NN,plate
-purinda,VB,print
-pururudza,VB,ululate; howl
-pusa,VB,be foolish
-pwanya,VB,crush
padyo,ADV,near
pamwe,ADV,perhaps
paka,VB,park (verb)
pawudha,NN,powder
-pa,VB,give; donate
-parara,VB,disperse
paipi,NN,pipe
-paridza,VB,broadcast; preach
pasi,NN,ground; floor; earth
pasi,NN,world
pasipoti,NN,passport
pasuru,NN,parcel
pati,NN,party
-paradza,VB,destroy
pai,NN,pie
paipi,NN,pipe
-paridza,VB,broadcast; preach
pasi,NN,ground; floor; earth
pasi,NN,rose; world
pasipoti,NN,passport
pasuru,NN,parcel
pati,NN,party
-pedza,VB,finish; accomplish; complete
peji,NN,page
-pemha,VB,beg
penda,VB,paint (verb)
pendi,NN,paint (noun)
-penga,VB,be mad
peni,NN,penny
penzura,NN,pencil
pepa,NN,paper
pepanhau,NN,newspaper
-perekedza,VB,accompany
-pesana,VB,disagree
peta,VB,fold
peturu,NN,petrol
peya,NN,pair
-pfapfaidza,VB,spray
-pfeka,VB,wear
-pfugama,VB,kneel
pfumbamwe,NN,nine
pfumo,NN,spear
pfungwa,NN,thought
pfupa,NN,bone
-pfura,VB,shoot
-pfuta,VB,blaze
pfuti,NN,gun
-pfuura,VB,pass
-pi,PR,which
pichisi,NN,peach
pikicha,NN,picture
-pina,VB,pin
-pinda,VB,enter; come in
-pindura,VB,reply; answer
pini,NN,pin
-pinza,VB,insert
piri,JJ,two
piritsi,NN,pill
piro,NN,pillow
-pisa,VB,be hot
pisi,NN,piece
pito,NN,whistle
piyano,NN,piano
-pofomara,VB,be blind
-pokana,VB,contradict
pombi,NN,tap; pump
-ponda,VB,murder
popukoni,NN,popcorn
-pora,VB,heal
porofiti,NN,profit
poshi,JJ,one
poto,NN,pot
-pupura,VB,confess
purani,NN,plan
purazi,NN,farm
pureti,NN,plate
-purinda,VB,print
-pururudza,VB,ululate; howl
-pusa,VB,be foolish
-pwanya,VB,crush
raini,NN,line
-ramba,VB,refuse; deny
-rambana,VB,divorce
rambi,NN,lamp
-rambidza,VB,forbid
-rangarira,VB,remember
ranjisi,NN,orange
-rapa,VB,cure
-rara,VB,sleep
-rasa,VB,throw away; lose
-ratidza,VB,show; indicate
-raura,VB,fish
-rayira,VB,advise
-regerera,VB,forgive
rekodhi,NN,record
remani,NN,lemon
-remara,VB,be deformed
-renda,VB,rent
rendi,NN,rent
renikoti,NN,raincoat
-rera,VB,baby-sit
retisi,NN,lettuce
rezenesi,NN,license
ribhoni,NN,ribbon
rifiti,NN,lift
rima,NN; VB,darkness (HL); cultivate; plough (L)
rimi,NN,flame
rinda,NN,grave
ringi,NN,ring
rinhi,PR,when
ripisitiki,NN,lipstick
risiti,NN,receipt
rivhi,VB,leave
robhoti,NN,robot
roko,NN,lock
rokwe,NN,dress
-ronga,VB,arrange; plan
roora,NN; VB,dowry; marry
ropa,NN,blood
rori,NN,truck
-rota,VB,dream
rotari,NN,lottery
-rova,VB,hit; strike
ruboshwe,NN,left
ruchiva,JJ,jealous
rudo,NN,love
rufaro,NN,happiness; joy
rufu,NN,death
rufuramhembwe,NN,dusk
rugare,NN,peace
-ruka,VB,knit
rukova,NN,river
-ruma,VB,bite
-rumbidza,VB,praise; glorify
runako,NN,beauty
rungano,NN,fable
runhare,NN,telephone
runyararo,NN,silence
ruoko,NN,hand; arm
ruomba,NN,cream
ruregerero,NN,forgiveness
rurimi,NN,tongue
rutendo,NN,faith
-rutsa,VB,vomit
ruva,NN,flower
ruvara,NN,color
ruvengo,NN,hatred
ruzha,NN,noise
-rwa,VB,fight
-rwara,VB,be ill; sick
rwendo,NN,journey
rwiyo,NN,song
sachigaro,NN,chairperson
saga,NN,sack
sainzi,NN,science
samende,NN,cement
-sangana,VB,meet
-sanganisa,VB,mix
sango,NN,forest; bush
-sarudza,VB,choose
sauti,NN,salt
-se,DT,all
sei,INT,what
